Gene stable ID	RefSeq ncRNA ID
ENSMUSG00000064336	
ENSMUSG00000064337	
ENSMUSG00000064338	
ENSMUSG00000064339	
ENSMUSG00000064340	
ENSMUSG00000064341	
ENSMUSG00000064342	
ENSMUSG00000064343	
ENSMUSG00000064344	
ENSMUSG00000064345	
ENSMUSG00000064346	
ENSMUSG00000064347	
ENSMUSG00000064348	
ENSMUSG00000064349	
ENSMUSG00000064350	
ENSMUSG00000064351	
ENSMUSG00000064352	
ENSMUSG00000064353	
ENSMUSG00000064354	
ENSMUSG00000064355	
ENSMUSG00000064356	
ENSMUSG00000064357	
ENSMUSG00000064358	
ENSMUSG00000064359	
ENSMUSG00000064360	
ENSMUSG00000064361	
ENSMUSG00000065947	
ENSMUSG00000064363	
ENSMUSG00000064364	
ENSMUSG00000064365	
ENSMUSG00000064366	
ENSMUSG00000064367	
ENSMUSG00000064368	
ENSMUSG00000064369	
ENSMUSG00000064370	
ENSMUSG00000064371	
ENSMUSG00000064372	
ENSMUSG00002074970	
ENSMUSG00002075400	
ENSMUSG00000095019	
ENSMUSG00002076890	
ENSMUSG00002074899	
ENSMUSG00000095250	
ENSMUSG00000094915	
ENSMUSG00000079800	
ENSMUSG00000096776	
ENSMUSG00000094741	
ENSMUSG00000094303	
ENSMUSG00000094722	
ENSMUSG00000079222	NR_131980
ENSMUSG00000095666	
ENSMUSG00000094836	
ENSMUSG00002075729	
ENSMUSG00000095041	
ENSMUSG00000096244	
ENSMUSG00000095092	
ENSMUSG00000074720	
ENSMUSG00000095787	
ENSMUSG00000096236	
ENSMUSG00000094874	
ENSMUSG00000096680	
ENSMUSG00000079192	
ENSMUSG00000096100	
ENSMUSG00000095041	NR_003518
ENSMUSG00000094054	
ENSMUSG00000095505	
ENSMUSG00000079794	
ENSMUSG00000095500	
ENSMUSG00000094383	
ENSMUSG00000095672	
ENSMUSG00000096756	
ENSMUSG00000094337	
ENSMUSG00000079808	
ENSMUSG00000094337	
ENSMUSG00000095450	
ENSMUSG00000094799	
ENSMUSG00000094728	
ENSMUSG00000079190	
ENSMUSG00000094474	
ENSMUSG00000095570	
ENSMUSG00000094791	
ENSMUSG00000062783	
ENSMUSG00000094514	
ENSMUSG00000096728	
ENSMUSG00000096808	
ENSMUSG00000096550	
ENSMUSG00000094172	
ENSMUSG00000094887	
ENSMUSG00000091585	
ENSMUSG00000095763	
ENSMUSG00000095523	
ENSMUSG00000095475	
ENSMUSG00000094855	
ENSMUSG00000100384	
ENSMUSG00000100216	
ENSMUSG00000099641	
ENSMUSG00000100271	
ENSMUSG00000095634	
ENSMUSG00000095634	
ENSMUSG00000101393	
ENSMUSG00000101393	
ENSMUSG00000100885	
ENSMUSG00000101120	
ENSMUSG00000101216	
ENSMUSG00000100032	
ENSMUSG00000101080	
ENSMUSG00000101080	
ENSMUSG00000094444	
ENSMUSG00000094444	
ENSMUSG00000100308	
ENSMUSG00000101423	
ENSMUSG00000101423	
ENSMUSG00000095626	
ENSMUSG00000095626	
ENSMUSG00000101761	
ENSMUSG00000101761	
ENSMUSG00000099493	
ENSMUSG00000096777	
ENSMUSG00000096777	
ENSMUSG00000102119	
ENSMUSG00000102119	
ENSMUSG00000101147	
ENSMUSG00000100739	
ENSMUSG00000100739	
ENSMUSG00000095345	
ENSMUSG00000095345	
ENSMUSG00000100709	
ENSMUSG00000100709	
ENSMUSG00000101254	
ENSMUSG00000100976	
ENSMUSG00000100489	
ENSMUSG00000101239	
ENSMUSG00000100971	
ENSMUSG00000100509	
ENSMUSG00000095553	
ENSMUSG00000095553	
ENSMUSG00000101099	
ENSMUSG00000101099	
ENSMUSG00000095049	
ENSMUSG00000101601	
ENSMUSG00000101516	
ENSMUSG00000101516	
ENSMUSG00000101516	
ENSMUSG00000101359	
ENSMUSG00000100790	
ENSMUSG00000100790	
ENSMUSG00000100790	
ENSMUSG00000101302	
ENSMUSG00000101302	
ENSMUSG00000101302	
ENSMUSG00000102125	
ENSMUSG00000102125	
ENSMUSG00000102125	
ENSMUSG00000094064	
ENSMUSG00000094064	
ENSMUSG00000101421	
ENSMUSG00000099461	
ENSMUSG00000099461	
ENSMUSG00000101706	
ENSMUSG00000096532	
ENSMUSG00000096532	
ENSMUSG00000101627	
ENSMUSG00000101627	
ENSMUSG00000101852	
ENSMUSG00000101681	
ENSMUSG00000101681	
ENSMUSG00000099438	
ENSMUSG00000101870	
ENSMUSG00000101472	
ENSMUSG00000101407	
ENSMUSG00000101407	
ENSMUSG00000099500	
ENSMUSG00000100097	
ENSMUSG00000100097	
ENSMUSG00000099806	
ENSMUSG00000101474	
ENSMUSG00000099704	
ENSMUSG00000099704	
ENSMUSG00000101383	
ENSMUSG00000099737	
ENSMUSG00000099737	
ENSMUSG00000099914	
ENSMUSG00000101417	
ENSMUSG00000101654	
ENSMUSG00000099369	
ENSMUSG00000101808	
ENSMUSG00000101893	
ENSMUSG00000099910	
ENSMUSG00000100442	
ENSMUSG00000101518	
ENSMUSG00000099818	
ENSMUSG00000100500	
ENSMUSG00000100677	
ENSMUSG00000100171	
ENSMUSG00000101255	
ENSMUSG00000099463	
ENSMUSG00000099463	
ENSMUSG00000099463	
ENSMUSG00000100745	
ENSMUSG00000101341	
ENSMUSG00000100193	
ENSMUSG00000099651	
ENSMUSG00000101787	
ENSMUSG00000101043	
ENSMUSG00000100535	
ENSMUSG00000099390	
ENSMUSG00000099390	
ENSMUSG00000099390	
ENSMUSG00000099738	
ENSMUSG00000100422	
ENSMUSG00000101988	
ENSMUSG00000100385	
ENSMUSG00000101336	
ENSMUSG00000101593	
ENSMUSG00000099733	
ENSMUSG00000101626	
ENSMUSG00000101626	
ENSMUSG00000101626	
ENSMUSG00000101091	
ENSMUSG00000100229	
ENSMUSG00000101691	
ENSMUSG00000100540	
ENSMUSG00000100244	
ENSMUSG00000100694	
ENSMUSG00000100694	
ENSMUSG00000099799	
ENSMUSG00000099799	
ENSMUSG00000099799	
ENSMUSG00000099999	
ENSMUSG00000101844	
ENSMUSG00000101806	
ENSMUSG00000101632	
ENSMUSG00000099525	
ENSMUSG00000100749	
